product_id,product_name,price
1,Ground Espresso Coffee (250g),350.0
2,Cold Brew Coffee Pack (6 Bottles),900.0
3,Instant Coffee Powder (100g),250.0
4,Coffee Beans (500g),600.0
5,Coffee Drip Bags (10 Bags),450.0
6,French Press Coffee Set,1200.0
7,Specialty Coffee Subscription,1500.0
8,Flavored Coffee Pods (Pack of 10),750.0
9,Organic Green Coffee Beans (500g),700.0
10,Coffee Gift Hamper,1800.0
11,Cold Brew Concentrate (500ml),550.0
12,Caramel Syrup (250ml),300.0
13,Mocha Flavored Coffee Mix (200g),450.0
14,Vanilla Coffee Syrup (250ml),320.0
15,Coffee Mug (Ceramic),350.0
16,Stainless Steel Tumbler,500.0
17,Coffee-Themed T-Shirt,600.0
18,Reusable Coffee Cup (Eco-friendly),450.0
19,Glass Coffee Jar (500ml),300.0
20,Coffee Bean Storage Canister,800.0
21,Insulated Travel Mug,650.0
22,Coffee Art Print,400.0
23,Customizable Coffee Coaster Set,250.0
24,Tote Bag with Coffee Design,500.0
25,Coffee Recipe Book,600.0
26,Coffee Plant Kit (DIY),900.0
27,Personalized Coffee Spoon,200.0
28,Coffee-Themed Notebook,300.0
